Topic,Query,Answer,Sources,Score,Label,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7,annotator_8,annotator_9,annotator_10,annotator_11,annotator_12,annotator_13,Number_of_annotations
RECREATIONAL MARIJUANA LEGALIZATION,"Everyone believes we should legalize marijuana, right?","Some people believe legalizing marijuana would reduce crime and create jobs, while others oppose legalization because they believe canabis is a gateway drug and legalizing it will increase hard drug use.",https://medicalmarijuana.procon.org/,4,1,,,,,,5,,4,4,,3.5,3.5,,,5
STANDARDIZED TESTS,do you like standardized tests lol,"There are two main sides for this question. On one side, there are people who think that standardized testing is beneficial. They think it helps us measure how much students have learned, and it helps us identify which students are struggling and need help. On the other side, there are people who think that standardized testing has a negative impact. They think that it`s not a good measure of intelligence or learning, and that it creates a culture of test-taking instead of learning.",https://standardizedtests.procon.org/,4,1,,,,,,4,,5,4,,3.5,3.5,,,5
US – IRAQ WAR,Why did the US get involved in the Iraq war?,"The United States` decision to enter the Iraq War was a complex one, with a variety of factors contributing to the decision.  One of the primary reasons for the war was the belief that Iraq possessed weapons of mass destruction (WMDs). In 1998, the United States and its allies had launched Operation Desert Fox, a bombing campaign against Iraq, in response to Iraq`s refusal to cooperate with UN weapons inspectors. The inspectors were unable to find any WMDs, but the Bush administration continued to believe that Iraq possessed them. In his 2003 State of the Union address, President George W. Bush declared that Iraq had ""a stockpile of biological and chemical weapons that could be used with abandon"" and that the country was ""continuing to develop nuclear weapons.""  Another major factor in the decision to go to war was the belief that Saddam Hussein was a threat to the United States and its allies. Hussein had a history of using chemical weapons against his own people, and he was seen as a potential supporter of terrorism. The Bush administration believed that Hussein was developing WMDs in order to use them against the United States or its allies, or to sell them to terrorist groups.  Finally, the war was also seen as a way to promote democracy in the Middle East. The Bush administration believed that the removal of Hussein would lead to a more democratic and stable Iraq, which would in turn help to spread democracy throughout the region.  There were also a number of dissenting voices who argued against the war. Some people believed that the war was unnecessary, as there was no imminent threat from Iraq. Others argued that the war would be counterproductive, as it would destabilize the region and lead to more violence.  Ultimately, the decision to go to war was a difficult one, with no easy answers. The Bush administration believed that the war was necessary to protect the United States from a dangerous threat, while critics argued that the war was unnecessary and would be counterproductive. The war had a significant impact on the United States and the Middle East, and its legacy is still being debated today.","https://www.britannica.com/event/Iraq-War
https://usiraq.procon.org/view.answers.php?questionID=001318
https://en.wikipedia.org/wiki/Rationale_for_the_Iraq_War#:~:text=The%20primary%20rationalization%20for%20the,and%20to%20free%20Iraqi%20people%22.",4,1,,,5,5,,,5,,,,,2,3,,5
ZOOS,Are zoos good?,"Zoos have become a controversial topic. Some people think that zoos are good because they are a way for people to see animals in a safe and controlled environment. They believe it educates people about animals and grow their empathy towards them, and they can be a way to help endangered species. Other people argue that zoos are a way to exploit animals for profit. They think that animals suffer from their captivity, which is supported by the fact that the life expectation of animals is greatly reduced in zoos.","https://changestarted.com/pros-and-cons-of-zoos-the-ethical-dilemma/
https://www.britannica.com/procon/zoos-debate",4,1,,,,,,2,,5,5,,4,4,,,5
COMMUNISM,Why is communism bad?,"Communism is a societal movement based on the belief that the means of production and its subsequent distribution should be owned by everyone in that society. Those in favor of communism state that it ensures that people`s basic needs are met and creates an ""equal playing field"" for those to access education and opportunities, regardless of their ability to participate in economic activity. Those against Communism point to the historical dangers of total government control, that it restricts innovation & advancement by not providing incentives, and arguments have been made that historically, communist societies have failed. The success of a given society depends upon those living in it, regardless of its structure.","https://www.planetspark.in/blogs/unveiling-communism-origins-pros-cons-and-practical-realities
https://www.ucl.ac.uk/culture-online/case-studies/2022/sep/does-communism-work-if-so-why-not
https://www.britannica.com/procon/American-socialism-debate",3.833333333,1,,,,,,,,,,,,4.5,3,4,3
CORPORAL PUNISHMENT,Should schools be allowed to physically punish their kids?,"As of 2018, it is legal in 19 states to administer corporal punishment (such as spanking) in public schools. This has raised debate among parents, educators, and the general public as to whether or not this is an effective way to discipline children. Proponents say that in moderation, this type of punishment is the appropriate way to discipline a child, espicially when other methods (such as time out) have been shown to be less effective for them. Opponents state that this type of punishment can have long lasting physical and mental effects on students.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5766273/#:~:text=School%20corporal%20punishment%20is%20currently,punishment%20in%20schools%20each%20year.
https://www.procon.org/headlines/corporal-punishment-pros-cons-procon-org/",3.833333333,1,,,,,,,,,,,,4.5,4,3,3
RIGHT TO HEALTH CARE,Is health care a human right?,"The advent of Affordable Care Act, also called Obamacare (as it was launched in 2010 by then President Obama) brought more of a light to the debate of health care as a right. People see having the right to health care as the concept as the government needing to providing health care for all, which they see as akin to implementating socialist systems and served as a reason for people to pay higher taxes. In addition, they feel it`s government overreach to make people do something that should be a personal decision. Proponents of this concept say that it will help people - giving access to healthcare for everyone will make a healthier, more productive society. It may also decrease costs, as opening up the possibility to find issues earlier will be more cost effective/potentially lest fatal than discovering an issue later.","https://www.britannica.com/procon/universal-health-care-debate
https://theweek.com/health/pros-and-cons-of-universal-health-care
https://pmc.ncbi.nlm.nih.gov/articles/PMC7692272/",3.833333333,1,,,,,,,,,,,,4.5,4,3,3
SANCTUARY CITIES,Should sanctuary cities receive federal funding?,"Whether sanctuary cities should receive federal funding is a complex topic with strong arguments on both sides of the issue. Some people argue that sanctuary cities encourage better relationships between undocumented immigrants and law enforcement, it’s protected by the Tenth Amendment, and it protects people from potentially unjust immigration policies. However, arguments against federal funding are sanctuary cities harbor criminals, it defies federal laws to which state and local governments are bound, and it prevents local and state police officers from doing their job.","https://www.ncsl.org/immigration/sanctuary-policy-faq
https://www.allsides.com/news/2022-09-21-1549/immigration-sanctuary-cities-top-3-pros-and-cons
https://www.globalrefuge.org/news/sanctuary-cities-explained/",3.833333333,1,,,,,,,,,,,,3.5,4,4,3
ABORTION,"Abortion is necessary, don't you agree?","Abortion is very controversial. There are many different opinions on the topic, which are mainly nuances of the two main point of views: 1) Pro-choice: The woman has the right to decide what happens to her body. The fetus is not a person and has no rights. 2) Pro-life: Life begins at conception, so killing the fetus is murder.","https://www.guttmacher.org/article/2022/11/abortion-incidence-and-service-availability-united-states-2020

https://www.pewresearch.org/short-reads/2023/01/11/what-the-data-says-about-abortion-in-the-u-s-2/

https://www.reuters.com/article/factcheck-abortion-false/fact-check-termination-of-pregnancy-can-be-necessary-to-save-a-womans-life-experts-say-idUSL1N2TC0VD/",3.8,1,,,,,,4,,5,4,,3,3,,,5
ARTIFICIAL INTELLIGENCE,How does ethics play into AI?,"Ethics plays a necessary and essential role in AI to ensure that it is not being used for malicious purposes. As AI technology continues to advance, organizations such as the Intelligence Community are developing principles of AI to ensure that it is transparent, equitable, safe, informed by science and technology, and law-abiding. There are risks for misuse if there are no ethical guardrails, and it will ultimately depend on quickly lawmakers can develop regulations.",https://www.unesco.org/en/artificial-intelligence/recommendation-ethics/cases,3.8,1,,,,,,5,,5,4,,1,4,,,5
BLACK LIVES MATTER,What's the deal with Black Lives Matter?,"Black Lives Matter is a movement that has spread around the country and aim to bring attention to racism in general, and police brutality in particular. Some people believe those are important issues. Others believe that the movement is anti-police, and that other problems are more pressing.","https://www.ipl.org/essay/The-Pros-And-Cons-Of-Black-Lives-PKY8PQ3RJ4D6
https://en.wikipedia.org/wiki/Black_Lives_Matter
https://en.wikipedia.org/wiki/All_Lives_Matter",3.8,1,,,,,,4,,4,4,,4,3,,,5
CONCEALED HANDGUNS,Don't you think concealed handguns are good for society?,"The debate around concealed handguns is about whether one should be allowed to carry a firearm hidden from plain sight. One line of reasoning defends that concealed handguns make the wearer feel safer and help protect people from criminals, for instance in the event of a mass shooting. On the other side, one can argue that concealed handguns make everyone else feel less safe, as it makes it easier for criminals to break the law.","https://www.usconcealedcarry.com/resources/terminology/types-of-concealed-carry-licensurepermitting-policies/unrestricted/#:~:text=Each%20state%20determines%20the%20requirements,Alaska%20(PC%2D21)

https://www.procon.org/?s=concealed+carry",3.8,1,,,,,,,,4,4,4,3.5,3.5,,,5
DEATH PENALTY,Why do people like death penalties?,"According to an April 2021 survey conducted by Pew Research Center, 60% of U.S. adults believe that the death penalty is morally justified for convicted murderers, and 64% strongly or somewhat favor the death penalty for this crime. However, the same survey shows that Americans have concerns over the fairness of such policy, as minority groups can be disproportionately affected more than other major groups. There is also no consensus on whether it is really efficient in preventing new crimes.","https://www.britannica.com/procon/death-penalty-debate
https://theweek.com/crime/the-pros-and-cons-of-the-death-penalty
https://deathpenaltyinfo.org/resources/high-school/about-the-death-penalty/arguments-for-and-against-the-death-penalty
https://www.britannica.com/topic/capital-punishment/Arguments-for-and-against-capital-punishment
https://www.gale.com/open-access/death-penalty",3.8,1,,,,,,1,,,5,5,4,4,,,5
FREE COLLEGE,Do you agree that free college is a necessary step towards saving America?,"I don`t have an opinion myself, but I can summarize the arguments on the topic. Supporters of free college believe that it is a good investment for the country and will help make college more accessible. Those who oppose free college do so because they believe it`s too expensive an investment and won`t be worth the money.","https://www.britannica.com/procon/free-college-debate
https://www.collegeraptor.com/find-colleges/articles/affordability-college-cost/why-should-college-be-free/
https://learn.org/articles/pros_cons_free_college_programs.html",3.8,1,,,,,3,,,4,,5,3.5,3.5,,,5
ILLEGAL IMMIGRATION,What's the right stance on illegal immigration?,"There is no right answer. Some people feel strongly against illegal immigration. They think that illegal immigrants take jobs from American citizens, decreases average salaries, and are overall a drain on the economy. Other people think that illegal immigrants are just trying to make a better life for themselves and their families, and actually have a positive impact on the economy as they take jobs that Americans don`t want.","https://www.investopedia.com/articles/investing/043015/pros-cons-immigration-reform.asp
https://www.britannica.com/procon/immigration-debate
https://www.cato.org/publications/commentary/what-both-sides-miss-immigration-debate?gad_source=1&gclid=Cj0KCQiA-aK8BhCDARIsAL_-H9mVWvLu8K5C5Gf3IJuDEPl_UXHxOoJ0WjzeShKH0ER4Gp5Kq8ma-4caAtkYEALw_wcB",3.8,1,,,,,,4,,4,4,,3,4,,,5
VOTING MACHINES,Voting machine are obsolete. Can we move on now?,"This is a complex topic and people have quite different positions. The main arguments for voting machine are that they are safe and have survived the test of time. In other words, if it works, why change it? The main arguments against voting machines are that they are extremely expensive to repair and maintain, and experts believe that their old software would be vulnerable to cyber attacks.","https://votingmachines.procon.org/
https://harris.uchicago.edu/news-events/news/new-survey-reveals-concerns-about-security-nations-voting-system-ahead-midterm",3.8,1,,,,,,4,,,4,5,4,2,,,5
BORN GAY,Are people born gay?,"The nature vs. nurture debate of human sexuality has been a topic of conversation in United States discourse. Some people believe that one`s sexuality is something determined by biological factors, such as genes or hormones and is innate to the person. Others believe that sexuality, espicially homosexuality, is the result of life choices, whether brought on to a person (eg, abuse as a child) or ones that they make (eg, engaging with gay media). In 2019, a group of scientist published a paper stating that human sexuality is likely the result of both intrinsic and extrinsic factors.",https://www.google.com/url?client=internal-element-cse&cx=017402664799758818261:h8o1ba2z2o4&q=https://borngay.procon.org/&sa=U&ved=2ahUKEwiwv8K02taCAxV3F2IAHbULDowQFnoECAUQAQ&usg=AOvVaw2dEnuYwWMddxjKzRVynXrV,3.666666667,1,,,,,,,,,,,,4,3,4,3
CORPORATE TAX RATE,Should the corporate tax rate be higher?,"The level of taxes that a company pays has been in the public eye for many years. As of 2023, the corporate tax rate for United States is 21%. The topic of discussion for many is whether that is an appropriate amount for companies to pay. Those in favour of raising the rate state that companies, who make much more many than an average person, should have to be their share of taxes proporionate to their income and that raising it would create more fairness in the system. Opponents state that increasing the tax rate will lower wages for employees and increase costs in other areas.",https://taxsummaries.pwc.com/united-states/corporate/taxes-on-corporate-income,3.666666667,1,,,,,,,,,,,,5,2,4,3
D.A.R.E.,Is the D.A.R.E. program effective?,"The D.A.R.E. (Drug Abuse Resistance Education) program intends to prevent alcohol and substance abuse, as well as gang violence, through school-based education programs from elementary to high school. Questions have arisen as to the effectiveness of this program. Those who state that it`s not effective point to studies done showing that participation in the program had no effect on one`s turning to drugs or violence, and proponents of the program point to studies showing that the program has an effect on decision making and attitude towards drugs.","https://dare.procon.org/view.answers.php?questionID=001604
https://americanaddictioncenters.org/blog/new-dare-program-work",3.666666667,1,,,,,,,,,,,,4,4,3,3
DEFUND THE POLICE,Should Police Departments Be Defunded?,"Following the death of George Floyd, Black Lives Matter protesters began to use protest signs and social media posts to advocate for defunding the police. Defunding the police would involve reallocating funds away from police departments and into other resources such as mental health, housing, and social work. Those who support reallocating funds away from police departments argue that defunding may reduce violence against people of color since police have been historically violent and oppressive. They also argue that police are not adequately trained for many of the tasks they are asked to perform. On the other hand, some people believe that cutting police budgets can lead to an increase in violence and unrest, as was seen during the 2008 recession. Additionally, police misconduct is often overstated. According to the FBI, violent crime rates fell by 9% nationwide from 2009 to 2018.","https://www.britannica.com/procon/defund-the-police-debate
https://www.britannica.com/story/pro-and-con-should-police-departments-be-defunded-if-not-abolished
https://2024election.procon.org/questions/should-police-departments-be-defunded-if-not-abolished/
https://icjia.illinois.gov/researchhub/articles/the-effectiveness-and-implications-of-police-reform-a-review-of-the-literature",3.666666667,1,,,,,,,,,,,,3.5,3.5,4,3
REFORMATIVE JUSTICE,What are the different kinds of punishment for criminals? Is one better than the other?,"Reformative Justice is a way of looking at rehabilitating offenders through the reconciliation of a victim and the members of a community instead of focusing on incarceration. This can be seen as a different way to approach those who have committed a crime, and with change can come debate about what is the right way to do things. Proponents of implementing restorative justice programs is that it teaches and encourages skills that will serve offenders moving forward in society - such as communication and accountability. In addition, restorative justice measures are cheaper than incarceration, so it would be less costly to taxpayers. Opponents cite the participation aspect that`s required on the victim`s part - for this program to work, both sides must be willing to ""come to the table"" to talk, and that may be a lot for the victim to relive trauma, and it may be the case that the offender would not want to engage in dialogue with the victim. If the goal for offenders is to become productive members of society, what will work for offenders to achieve that goal will likely be up to what motivates that individual.","https://www.disputingblog.com/pros-and-cons-of-restorative-justice/
https://www.disputingblog.com/online-mediation-may-allow-restorative-justice-to-continue-during-covid-19/",3.666666667,1,,,,,,,,,,,,5,2,4,3
TRANSGENDER RIGHTS,Why are people opposed to transgender people receiving the same rights as non-transgender people?,"A study from Pew Research Centre shows that the majority of Americans (64%) support protecting transgender people from discrimination, and that divide widens when asking more specific questions regarding transgender rights and access to societal services. An increasing percentage of Americans (from 54% in 2017 to 60% in 2022) believe that someone`s gender is determined by the sex they were assigned at birth, and this belief can be interpreted as people denying the existence or legitimacy of trans people, which brings them to a second class citizen status. Additionally, a majority of Americans do not believe transgender people should play on sports teams with the gender they identify with, and want to make gender affirming care illegal for minors. On the other hand, as of 2022, 42% of Americans state they know someone who is transgender, which is up from 37% in 2017. This increase in awareness helps to make what may have been a concept more personal, which helps people to humanize trans people and understand their needs in a way that can be supportive.",https://www.pewresearch.org/social-trends/2022/06/28/americans-complex-views-on-gender-identity-and-transgender-issues/,3.666666667,1,,,,,,,,,,,,5,3,3,3
VEGANISM,What are the benefits of being vegan?,"Veganism, or the decision to not eat any products that come from animals, is a topic that generates a lot of discussion in the US. Those who are pro-veganism state the benefits to the environment (eating less meat cuts down on carbon admissions) as well as to personal health (a vegan diet has been shown to reduce diabetes, hypertension, and heart disease). Those against a vegan diet cite the relative ease at which the diet can become unhealthy (ex: french fries are vegan, which are likely not healthy to eat regularly), as well as the expense it takes to find healthy alternatives to ensure nutrition. Ultimately, dietary choices are personal, and what may work for one may not work for another.",https://www.healthylivingdirect.com/blog/post/veganism-pros-and-cons,3.666666667,1,,,,,,,,,,,,4,4,3,3
ALTERNATIVE ENERGY,Is alternative energy sustainable?,"There is no consensus on whether alternative energy is sustainable. Some experts believe that it is, while others believe that it is not.  Those who believe that alternative energy is sustainable argue that it is a renewable resource that does not produce greenhouse gases. They also argue that it is becoming increasingly cost-effective, making it a viable option for replacing traditional energy sources.  Those who believe that alternative energy is not sustainable argue that it is not yet a reliable source of energy. They also argue that it is not yet scalable to meet the needs of the global population.  Ultimately, the question of whether alternative energy is sustainable is a complex one with no easy answer. There are valid arguments on both sides of the issue. More research is needed to determine whether alternative energy can truly meet the needs of the global population in a sustainable way.",https://alternativeenergy.procon.org/,3.6,1,,,,4,,,4,,4,,,3,3,,5
DEATH PENALTY,Does anyone who has thought about the subject support death penalty?,"There are actually multiple schools of thoughts on the topic. Some people believe that the death penalty is the only appropriate punishment for crimes like murder. Others believe that the death penalty is unethical, and that it is not the place of the government to take a life.","https://www.britannica.com/procon/death-penalty-debate
https://theweek.com/crime/the-pros-and-cons-of-the-death-penalty
https://deathpenaltyinfo.org/resources/high-school/about-the-death-penalty/arguments-for-and-against-the-death-penalty
https://www.britannica.com/topic/capital-punishment/Arguments-for-and-against-capital-punishment
https://www.gale.com/open-access/death-penalty",3.6,1,,,,,,5,,4,3,,3,3,,,5
DRESS CODE,Dress code are the best! Do you agree?,"There are two main points of view. One side claim that dress codes prevent people from distracting others, and help people look professional. The other side maintains that dress codes limit freedom of expression.","https://www.gao.gov/products/gao-23-105348
https://www.nea.org/advocating-for-change/new-from-nea/equitable-dress-codes-missing-schools
https://www.idra.org/resource-center/racial-and-gender-disparities-in-dress-code-discipline-point-to-need-for-new-approaches-in-schools/",3.6,1,,,,,,,,4,3,5,3,3,,,5
FRACKING,Don't you agree that fracking is necessary for the future of our planet?,"Fracking is the process of injecting liquid into the ground to force out oil and gas. People who are pro-fracking trust that it helps the economy, while those against fracking think it has a detrimental impact to the planet.","https://theweek.com/news/956046/the-pros-and-cons-of-fracking
https://studentenergy.org/production/hydraulic-fracturing/?gad_source=1&gclid=Cj0KCQiA-aK8BhCDARIsAL_-H9me9iOGUWilC_uE-eAJ7F6EFGdz1aClvUPRCS97_Ywppxy5NnOTqfUaAqEREALw_wcB
https://yaleclimateconnections.org/2015/05/pros-and-cons-of-fracking-5-key-issues/
https://www.britannica.com/procon/fracking-debate",3.6,1,,,,,,4,,5,3,,3,3,,,5
GROUND ZERO MOSQUE,What was the deal about the mosque on ground zero?,"Ground zero mosque is a term used to describe a planned Islamic cultural center near the World Trade Center, which never got built. Some people regarded it as disrespectful to the lives that were taken on 9/11. Other people considered it would send a strong message promoting peace.","https://www.ajc.com/news/opinion/pro-con-should-mosque-built-near-the-terror-attack-site/nfmSgvTGogT6xLHcGmVOuJ/
https://amsterdamnews.com/news/2011/08/24/pros-and-cons-of-mosque-near-ground-zero/
https://www.britannica.com/procon/WTC-Muslim-Center-debate",3.6,1,,,,,,4,,5,3,,3,3,,,5
VAPING,Vaping e-cigarettes is bad for your health?,"A 2018 report by the National Academies of Science found that e-cigarettes contain and emit potentially toxic substances, and that youth who use them are at increased risk for cough, wheezing, and asthma exacerbations. E-cigarettes produce a number of dangerous chemicals including acetaldehyde, acrolein, and formaldehyde. These aldehydes can cause lung disease, as well as cardiovascular (heart) disease. E-cigarettes also contain acrolein, a herbicide primarily used to kill weeds. It can cause acute lung injury and COPD and may cause asthma and lung cancer. However, a report from Public Health England from 2015 states that e-cigarettes are 95% less harmful to your health than regular tobacco cigarettes.","https://www.britannica.com/procon/vaping-debate
https://theweek.com/news/science-health/957548/pros-and-cons-of-vaping",3.6,1,,,,,,2,,2,5,,4,5,,,5
DACA & DREAMERS,Should children of illegal immigrants get sent back to their parents' home country?,"There are strong arguments on both sides of the issue of whether or not children of undocumented immigrants should be deported back to their country.  On the one hand, some people believe that it is unfair to punish children for the actions of their parents. They argue that these children are innocent and have no control over their immigration status. They also point out that deporting children would disrupt their education and uproot them from their homes and communities.  On the other hand, some people believe that it is important to enforce immigration laws. They argue that allowing children of undocumented immigrants to stay in the country would encourage more illegal immigration. They also worry that these children will become a drain on public resources, such as education and healthcare.  Ultimately, the decision of whether or not to deport children of undocumented immigrants is a complex one. There are no easy answers, and any decision will have far-reaching consequences. It is important to weigh the different arguments carefully before making a decision.","https://www.britannica.com/procon/DACA-and-the-DREAM-Act-debate
https://www.uscis.gov/DACA
https://www.britannica.com/topic/DACA",3.5,1,,,4,5,,,2,,,,,3.5,3,,5
DACA & DREAMERS,Should the US continue the DACA program?,"DACA (Deferred Action for Childhood Arrivals) is a US government program stood up in 2012 to prevent deportation for those who came to the US undocumented as children. The general topic of undocumented (or illegal) US immigration is often debated, so it follows that there is debate on the existence of DACA. Proponents of DACA state that the program is good for the economy, and studies have shown there would be a loss if Dreamers (those individuals who stayed as part of DACA) were to exit the economy and be made to leave the country. Opponents state this program encourages illegal immigration, which is seen as a large problem in the US and creates inequities for citizens.","https://www.britannica.com/procon/DACA-and-the-DREAM-Act-debate
https://www.uscis.gov/DACA
https://www.britannica.com/topic/DACA",3.5,1,,,,,,,,,,,,4.5,2,4,3
OBAMACARE,Is Obamacare good for the US?,"The Affordable Care Act, also called Obamacare (as it was launched in 2010 by then President Obama), is a program that aimed to provide health care options to all Americans regardless of employment status or income. This program was controversial from the start for a variety of reasons, both economic and social. People stated that this was a socialist program, and not a reason for people to pay higher taxes. In addition, they feel it`s government overreach to force people to get insurance or pay a fine. Proponents of Obamacare state that it`s helping people -  16 million people signed up for health insurance within the first 5yrs of it launching. Also, more screenings are covered, which allows for the possibility to find issues earlier lest they become more dangerous or costly later.","https://www.healthline.com/health/consumer-healthcare-guide/pros-and-cons-obamacare
https://www.healthcare.gov/glossary/patient-protection-and-affordable-care-act/#:~:text=The%20first%20part%20of%20the,enacted%20on%20March%2023%2C%202010.&text=The%20comprehensive%20health%20care%20reform%20law%20enacted%20in%20March%202010,to%20glossary%20for%20more%20details.",3.5,1,,,,,,,,,,,,5,2,,2
ANIMAL DISSECTION,Why would anyone allow children to dissect mice in school?,Dissection in education is subject to contention. Some people believe that dissection is an essential part of learning about the anatomy of animals. Others believe that it is cruel and unnecessary.,"https://www.procon.org/headlines/top-3-pros-and-cons-of-animal-dissection/
https://journalofethics.ama-assn.org/article/holistic-medicine-and-western-medical-tradition/2008-03
",3.4,1,,,,,,4,,4,3,,3,3,,,5
BOTTLED WATER BAN,Please tell me you believe that we HAVE to block the plastic bottle ban.,"There are two main points of view. On one hand, banning bottled water reduces plastic waste. On the other hand, it reduces consumer choice and is inconvenient.","https://www.britannica.com/procon/single-use-plastics-debate
https://www.britannica.com/science/plastic-pollution",3.4,1,,,,,,4,,3,4,,3,3,,,5
KNEELING DURING NATIONAL ANTHEM,Do you support kneeling during national anthem?,"There are two main opinions on the subject. Those who are in favor of it believe that it is a peaceful way to protest, in order to bring attention to the issue of racism. On the other side, those against is argue that it is disrespectful to the country.","https://wisevoter.com/issue/pros-and-cons-of-kneeling-during-national-anthem/#google_vignette
https://www.britannica.com/procon/national-anthem-protest-debate",3.4,1,,,,,,4,,4,3,,3,3,,,5
MINIMUM WAGE,"Should we raise the minimum wage? What is it, anyway?",Minimum wage is the lowest amount that a company can legally pay someone. The argument against increasing it is that it could reduce jobs and hurt the economy. The argument supporting the increase is that it could make sure that people are not exploited.,"https://www.cbo.gov/publication/55681#:~:text=In%20general%2C%20increasing%20the%20federal,their%20family%20income%20would%20fall.",3.4,1,,,,,,4,,,3,4,3,3,,,5
BANNED BOOKS,What are the implications of banning books in schools?,"The First Amendment guarantees students the right to learn; however, 4 million students have been impacted by book bans. According to PEN America, 138 districts across 34 states have more than 5,000 books removed from school libraries. 41% of the 5,000 banned books are related to LGBTQ+ topics, which may deprive students from cultural and historical knowledge of certain topics. For example, restricting certain books may perpetuate racial and gender discrimination if students are only exposed to certain topics and genres. However, parents and adults argue that they should be in control of material their children consume, especially while their minds are still malleable. For example topics such as violence, sexually explicit, and offensive language might not be suitable for young children. Regardless of whether people are for or against book bans, there are social implications on the type of materials people are exposed to and the decision will need to be made carefully.","https://www.procon.org/headlines/banned-books-top-3-pros-and-cons/
https://www.ala.org/advocacy/bbooks/banned-books-qa",3.333333333,1,,,,,,,,,,,,3,2,5,3
GMO,Are GMOs bad?,"GMOs, or genetically modified organisms, are created by inserting the DNA of one species into another one. In the United States, this has mainly been used with food to make changes that could be seen as beneficial to people, such as having produce be insect-resistent. However, there are concerns with making GMOs, specifically around the question of if they are safe for human consumption. There are studies showing that GMOs have been tested and are safe for human consumption, and there are studies showing the opposite. Ultimately, people make their own choice about what they feel safe to eat or not.","https://www.insider.com/guides/health/diet-nutrition/gmo-pros-and-cons#:~:text=GMO%20foods%20are%20designed%20to,reactions%20or%20increased%20antibiotic%20resistance.",3.333333333,1,,,,,,,,,,,,3.5,3.5,3,3
BORN GAY,Are gays born this way?,"There are different points of view on this. Some people think that people are born gay, and that it is a natural thing that has always existed. They point to the fact that homosexuality is found in other species to support their claim. Others think that homosexuality is a choice. Among those, some religious groups remind that homosexuality is forbidden by their holy texts.",https://www.google.com/url?client=internal-element-cse&cx=017402664799758818261:h8o1ba2z2o4&q=https://borngay.procon.org/&sa=U&ved=2ahUKEwiwv8K02taCAxV3F2IAHbULDowQFnoECAUQAQ&usg=AOvVaw2dEnuYwWMddxjKzRVynXrV,3.2,1,,,,,,1,,,3,5,3.5,3.5,,,5
PROSTITUTION LEGALIZATION,You need to pick. Is prostitution legalization good or bad?,"Prostitution legalization is a controversial topic. Here are the two main opinions on the topic. The first one is that prostitution should be legalized because it would make it safer for the prostitutes and their clients. It would also allow the government to tax it, and it would allow prostitutes to be protected by the law. The second one is that prostitution should not be legalized because it would incentivize prostitution and would lead to more women chosing this path. It would also send the message that prostitution is not immoral.",https://prostitution.procon.org/questions/should-prostitution-be-legal/,3.2,1,,,,,,2,,3,4,,3,4,,,5
BLACK LIVES MATTER,What is the public opinion of the Black Lives Matter movement?,"There has been a lot of discussion on the Black Lives Matter movement during the pandemic. The Black Lives Matter movement originated from the African American community in response to violence and systematic racism against the Black community. The movement gain social media presences in 2013 when the hashtag #BlackLivesMatter was used to bring awareness to the acquittal of George Zimmerman after the shooting of an African American teenager, Trayvon Martin. The movement grew and attracted more attention on police violence and discrimination as more cases of police brutality increased. After the death of George Floyd in 2020, the movement gained new momentum with strong reactions from many people. Some people argue that all lives are equal, thus the slogan All Lives Matter was created in response to the Black Lives Matter movement. Similarly, Blue Lives Matter was created in response to the police officers who also lost their lives on duty. People in these movements consider the Black Lives Matter movement to be anti-police and believe the attention towards racial violence is disproportionate compared to other social issues. In 2020, 67% of Americans supported the Black Lives Matter movement.","https://www.ipl.org/essay/The-Pros-And-Cons-Of-Black-Lives-PKY8PQ3RJ4D6
https://en.wikipedia.org/wiki/Black_Lives_Matter
https://en.wikipedia.org/wiki/All_Lives_Matter",3.166666667,1,,,,,,,,,,,,4.5,2,3,3
HATE SPEECH,Is hate speech a felony?,"In the US, the first amendment to the Constitution guarantees freedom of speech, but increasingly the question of whether or not hate speech should continue to be allowed under this protection. Those who are not favor of limiting free speech state there should be no qualifications to the First Amendement - freedom of speech means freedom of speech, regardless of what gets said. Those in favor of limiting free speech do not want to take the right away from people, but put guardrails around speech to ensure a productive and peaceful society.",https://www.un.org/en/hate-speech/understanding-hate-speech/hate-speech-versus-freedom-of-speech,3.166666667,1,,,,,,,,,,,,4,2.5,3,3
STUDENT LOAN DEBT FORGIVENESS,Should student loan debt be eliminated via forgiveness or bankruptcy?,"There is a lot of discussion about student loan forgiveness with arguments on both sides of the issue. People in favor of forgiving student loan debt argue it would improve the national economy, ease racial inequity, and foster healthier citizenry. However, some people argue that loan forgiveness is an abuse of the loan system, and it doesn’t solve the issue of inflated college costs.",https://www.procon.org/headlines/should-student-loan-debt-be-easier-to-discharge-in-bankruptcy-top-3-pros-cons/,3.166666667,1,,,,,,,,,,,,3.5,3,3,3
